record_id,dataset_id,source_id,asset_id,gene_id_raw,gene_id,gene_id_namespace,gene_id_version,sample_id,source_sample_alias,measurement_type,value_semantics,value_scale,is_normalized,is_integer_expected,expression_value,expression_unit,source_logical_file,source_line_number,source_column_index,source_column_name,source_raw_value
rec_a9fa018a199838dd435fff53abff7915,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388270,A1,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,2,13,counts.A1,0
rec_22939e130085fc66f875a2adc44ce7ed,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388271,A2,tximport_estimated_count,estimated_count,linear,false,false,3.94,estimated_count,GSE178352_tximportCounts.txt,2,14,counts.A2,3.94
rec_3b0954f5a2eb1127701ba75d56521cf1,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388273,A4,tximport_estimated_count,estimated_count,linear,false,false,1,estimated_count,GSE178352_tximportCounts.txt,2,15,counts.A4,1
rec_47cb7a4d470570dc221d72249a4c9d7b,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388274,A5,tximport_estimated_count,estimated_count,linear,false,false,10,estimated_count,GSE178352_tximportCounts.txt,2,16,counts.A5,10
rec_3768173d77c64e832f8dc95429474f2c,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388275,A6,tximport_estimated_count,estimated_count,linear,false,false,5,estimated_count,GSE178352_tximportCounts.txt,2,17,counts.A6,5
rec_45d5d355792253835fe599cd062e3ea3,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388272,A7,tximport_estimated_count,estimated_count,linear,false,false,8,estimated_count,GSE178352_tximportCounts.txt,2,18,counts.A7,8
rec_add13e302befe00c399c2bd98827cdba,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388276,B1,tximport_estimated_count,estimated_count,linear,false,false,1235,estimated_count,GSE178352_tximportCounts.txt,2,19,counts.B1,1235
rec_01f285adbaa1df6f250212bdf461bc1c,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388277,B2,tximport_estimated_count,estimated_count,linear,false,false,1175,estimated_count,GSE178352_tximportCounts.txt,2,20,counts.B2,1175
rec_cda9473e25c38bb3ab6b985bf52181c8,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388278,B3,tximport_estimated_count,estimated_count,linear,false,false,1137.032,estimated_count,GSE178352_tximportCounts.txt,2,21,counts.B3,1137.032
rec_3efa00ae759ccdda34d1e92c5504cefc,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388279,B4,tximport_estimated_count,estimated_count,linear,false,false,7.973,estimated_count,GSE178352_tximportCounts.txt,2,22,counts.B4,7.973
rec_f8194d49d68d60f90808427684be42b1,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388280,B5,tximport_estimated_count,estimated_count,linear,false,false,709.001,estimated_count,GSE178352_tximportCounts.txt,2,23,counts.B5,709.001
rec_b275bb15532889f9ebc3319be3886b87,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000003,ENSG00000000003,ensembl_gene,,GSM5388281,B7,tximport_estimated_count,estimated_count,linear,false,false,753,estimated_count,GSE178352_tximportCounts.txt,2,24,counts.B7,753
rec_f7c76f710cb8763a1294a30cac4b74fc,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388270,A1,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,13,counts.A1,0
rec_c8a56ffd3df7030832e7b3422e3e3016,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388271,A2,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,14,counts.A2,0
rec_6d7996af66715aa5073b7346f42fd69b,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388273,A4,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,15,counts.A4,0
rec_69fdc226dbe5977b0f38db4a032d83e6,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388274,A5,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,16,counts.A5,0
rec_7d30829c8b6eb12082c04dd404a7ec16,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388275,A6,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,17,counts.A6,0
rec_163bd3463bf27ac30273955073ee5ba9,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388272,A7,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,18,counts.A7,0
rec_4d72b247b6a5d1829c288e5554e187bc,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,asset_15c664563f87edc4eab94be3e21b6e763686d9ff379a24e8bbbf3c5568bbc9e2,ENSG00000000005,ENSG00000000005,ensembl_gene,,GSM5388276,B1,tximport_estimated_count,estimated_count,linear,false,false,0,estimated_count,GSE178352_tximportCounts.txt,3,19,counts.B1,0
