sample_id,dataset_id,source_id,source_sample_alias,cell_line_raw,cell_line_canonical,normalization_rule,treatment,replicate,organism,source_url
GSM5388270,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,A1,MD-MBA-231,MDA-MB-231,cell-line-name-correction-v1,DMSO,1,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388271,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,A2,MD-MBA-231,MDA-MB-231,cell-line-name-correction-v1,DMSO,2,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388272,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,A7,MD-MBA-231,MDA-MB-231,cell-line-name-correction-v1,DMSO,3,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388273,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,A4,MD-MBA-231,MDA-MB-231,cell-line-name-correction-v1,MAL3-101,1,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388274,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,A5,MD-MBA-231,MDA-MB-231,cell-line-name-correction-v1,MAL3-101,2,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388275,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,A6,MD-MBA-231,MDA-MB-231,cell-line-name-correction-v1,MAL3-101,3,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388276,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,B1,MD-MBA-453,MDA-MB-453,cell-line-name-correction-v1,DMSO,1,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388277,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,B2,MD-MBA-453,MDA-MB-453,cell-line-name-correction-v1,DMSO,2,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388278,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,B3,MD-MBA-453,MDA-MB-453,cell-line-name-correction-v1,DMSO,3,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388279,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,B4,MD-MBA-453,MDA-MB-453,cell-line-name-correction-v1,MAL3-101,1,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388280,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,B5,MD-MBA-453,MDA-MB-453,cell-line-name-correction-v1,MAL3-101,2,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSM5388281,ds_geo_gse178352,src_ac3f65715090fc35dff94baae79981fb,B7,MD-MBA-453,MDA-MB-453,cell-line-name-correction-v1,MAL3-101,3,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
