record_id,gene_symbol,compound_name,log2fc,p_value,adj_p_value,source_doi,source_url,extraction_method,extraction_confidence,quality_flags
geo-a1b2c3d4,TP53,,-2.31,0.00012,0.000600,10.1186/s12935-023-03012-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21035,api,1.0,
geo-e5f6g7h8,AKT1,,1.85,0.00045,0.001125,10.1186/s12935-023-03012-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21035,api,1.0,
geo-b1c2d3e4,BCL2,,-1.92,0.00078,0.001560,10.1186/s12935-023-03012-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21035,api,1.0,
geo-c3d4e5f6,MYC,,2.14,0.00033,0.001100,10.1186/s12935-023-03012-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21035,api,1.0,
geo-d4e5f6g7,VEGFA,,2.67,0.00005,0.000500,10.1186/s12935-023-03012-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21035,api,1.0,
geo-f6g7h8i9,MMP9,,1.32,0.00450,0.006429,10.1186/s12935-023-03012-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21035,api,1.0,
tcmsp-i9j0k1l2,,quercetin,,,,,https://tcmspw.com/tcmspsearch.php,api,0.7,needs_review
tcmsp-j2k3l4m5,,luteolin,,,,,https://tcmspw.com/tcmspsearch.php,api,0.7,
string-m3n4o5p6,AKT1,,0.95,,,10.1016/j.biomaterials.2023.122034,https://string-db.org/network/9606.ENSP00000274986,api,0.95,
pubmed-q7r8s9t0,TP53,,,,,10.1038/s41568-023-00123-4,https://pubmed.ncbi.nlm.nih.gov/37501234/,api,1.0,
