asset_id,role,paper_id,parent_asset_id,media_type,size_bytes,core_operation_result_id,notes
"asset_7ccdaf88e6d55a19e9f5fb9c66bcbdfc6db66d6984053aa45228239d89bf7f00","fulltext_xml_carrier","PMC10408569","","application/xml","257660","","acquire_core_carrier europepmc.fulltext_xml.v1; UTF-8 text"
"asset_80a418ac0aba09c0c7ca9ba53eccf4614e36c5c8a996f59659dfeee1a5ca768b","pdf_carrier","PMC10408569","","application/pdf","5670054 (per XML cloudpmc size)","","acquire_core_carrier europepmc.pdf.v1; binary"
"asset_ee82ae157707f186df288c55ed6f33cbda82cce45928e7a9e58462f84f914827","supplementary_zip_carrier","PMC10408569","","application/zip","","","37 members: jpg/gif + 1 PDF; no UTF-8 text member"
"asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","paper_chart_evidence_carrier","PMC10408569","uses xml+pdf+supp carriers above","application/json","118595","receipt_d187e511-a453-4bbf-b9d3-0c4ffd102374","Core VLM rows: 1 paper / 18 experiments / 84 activity values / 9 series / 0 points / 1 supp"
"asset_962bf2fe60f455fb18e54938c66184dbc211e5ea941d37c35e0525b0fd33e9a7","supplementary_member","PMC10408569","asset_ee82ae157707f186df288c55ed6f33cbda82cce45928e7a9e58462f84f914827","application/pdf","14130872","result_archive_c82c7d6698637a31f279713436fbf447","member IENZ_A_2241674_SM6031.pdf; extract_core_archive; BINARY - not UTF-8 text"
"asset_69d4a8740aabcecb920a122cad0ad501462a5e292a91b15e98da5618759b05f7","fulltext_xml_carrier","PMC5355725","","application/xml","104362","","UTF-8 text"
"asset_3bf34506ada3dbf3f271f1cc832a9d512c083ea2873cc4a62acb51e4605f0bde","pdf_carrier","PMC5355725","","application/pdf","2178009 (per XML pdf-size)","","binary"
"asset_168516b502c22dba00743b9f8dd38c4b142bcf7671c618d844ca9bc96562a688","supplementary_zip_carrier","PMC5355725","","application/zip","","","20 members: jpg/gif only; no UTF-8 text member"
"asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","paper_chart_evidence_carrier","PMC5355725","uses xml+pdf+supp carriers above","application/json","330345","receipt_b3c0b438-42fd-40b0-a909-5b2f60bce4d0","Core VLM rows: 1 / 80 / 117 / 85 / 0 / 1"
"asset_38428f9b7c2dbefb063ba78bd33a754c4862c3add8a983faa6682dfd06a8e9c4","supplementary_member","PMC5355725","asset_168516b502c22dba00743b9f8dd38c4b142bcf7671c618d844ca9bc96562a688","application/octet-stream","182452","result_archive_5e5190c3c62733d88b74c454882cea06","member OR-37-01-0066-g00.jpg; BINARY - not UTF-8 text"
"asset_b7935b97f7ecaa41a3e9cef72b1f7309466c0bc6c11cc64f84a258bae98450c6","fulltext_xml_carrier","PMC5094958","","application/xml","85714","","UTF-8 text"
"asset_30dbe82385d7d001b8820de8b69f1af7d63c5b8765fb2d65acdb8c6161e81728","pdf_carrier","PMC5094958","","application/pdf","2864383 (per XML cloudpmc size)","","binary"
"asset_4fee564e673fd3d209870e7535a68fa357332de918682b10254af63c707efed5","supplementary_zip_carrier","PMC5094958","","application/zip","","","21 members: jpg/gif only; no UTF-8 text member"
"asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","paper_chart_evidence_carrier","PMC5094958","uses xml+pdf+supp carriers above","application/json","58120","receipt_8d9aa8aa-dddf-48f6-8dde-d6c81c4d63e2","Core VLM rows: 1 / 23 / 20 / 9 / 0 / 1"
"asset_a5ceb0012cc6dfd702515a960d66f0604ba45dffb9d5b2f131836f6d84e127f5","supplementary_member","PMC5094958","asset_4fee564e673fd3d209870e7535a68fa357332de918682b10254af63c707efed5","application/octet-stream","59700","result_archive_576e69dfaca3ca2df04f77fe7ab295fb","member oncotarget-07-35741-g001.jpg; BINARY - not UTF-8 text"
