chart_series_id,paper_id,axis_validation_status,legend_validation_status,human_review_status,admitted_point_count,source_asset_id,verified_how
"series_fig6_egfr_wt","PMC10408569","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig6_egfr_t790m","PMC10408569","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig6_egfr_l858r","PMC10408569","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig9_molsoft_erlotinib","PMC10408569","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig9_molsoft_10c","PMC10408569","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig9_molsoft_10d","PMC10408569","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig9_swissadme_erlotinib","PMC10408569","unclear: axis unit missing","legend status missing","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig9_swissadme_10c","PMC10408569","unclear: axis unit missing","legend status missing","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig9_swissadme_10d","PMC10408569","unclear: axis unit missing","legend status missing","pending review (series_count=9)","0","asset_c8987db0cdd44efcedd02ca29cbb3db22b2cd8270d98245b4298aaf8c066cb69","verbatim from extract_registered_paper_chart_evidence warning"
"series_s_A_parental_EGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_parental_pEGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_WT_EGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_WT_pEGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_L858R_EGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_L858R_pEGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_T790M_EGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_A_T790M_pEGFR","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_parental_EGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_parental_noEGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_WT_EGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_WT_noEGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_L858R_EGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_L858R_noEGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_T790M_EGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_s_B_T790M_noEGF","PMC5355725","admitted no points; marked unclear","not reported in tool warning","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_ser_EGFR_Parental","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_ser_PhosphoEGFR_Parental","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_ser_EGFR_WT","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_ser_PhosphoEGFR_WT","PMC5355725","unclear: axis unit missing","legend status missing","pending review","0","asset_fe0edfe9d06da2b668ccb149a85b6b36081f70bc9661bd11c317be7037da5127","verbatim from tool warning"
"series_fig3A_vehicle","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3A_gefitinib","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3A_transtibin","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3B_vehicle","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3B_gefitinib","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3B_transtibin","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3C_gefitinib","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3C_transtibin5","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
"series_fig3C_transtibin25","PMC5094958","unclear: axis unit missing","not reported in tool warning","pending review (series_count=9)","0","asset_3a306150eb776e654849b1a9cbc0c8cb9bc73365afce01629c51d68f714a097d","verbatim from extract_registered_paper_chart_evidence warning"
