experiment_id,paper_id,target_variant,assay,subject,locator_page,locator_object,raw_relation_text_quote,extraction_method,human_review_state
"PMC10408569::exp_t2_egfr_wt","PMC10408569","EGFR WT","enzymatic inhibitory activity","","8","Table_2","Table 2. Inhibitory activities of the most potent 13 compounds with standard drug erlotinib against EGFRWT, EGFR T790M, and EGFR L858R (the results are reported as the means of IC50 values +/- standard deviation for three independent replicates).","vlm","carrier registered; row values read from carrier head"
"PMC10408569::exp_t2_egfr_t790m","PMC10408569","EGFR T790M","enzymatic inhibitory activity","","8","Table_2","same Table 2 caption as exp_t2_egfr_wt","vlm","carrier registered; row values read from carrier head"
"PMC10408569::exp_t2_egfr_l858r","PMC10408569","EGFR L858R","enzymatic inhibitory activity","","8","Table_2","same Table 2 caption as exp_t2_egfr_wt","vlm","carrier registered; row values read from carrier head"
"PMC10408569::exp_fig6_egfr_wt","PMC10408569","EGFR WT","IC50 enzyme inhibition","","9","Figure_6","Figure 6. Inhibitory activity outcomes (IC50 uM) for the most potent 13 compounds 6a, 6c-f, 6i, 8b,c, 8e and 10a-d against EGFRWT, EGFR T790M, and EGFR L858R.","vlm","carrier registered; row values read from carrier head"
"PMC10408569::exp_fig6_egfr_t790m","PMC10408569","EGFR T790M","IC50 enzyme inhibition","","9","Figure_6","same Figure 6 caption as exp_fig6_egfr_wt","vlm","carrier registered; row values read from carrier head"
"PMC10408569::exp_fig6_egfr_l858r","PMC10408569","EGFR L858R","IC50 enzyme inhibition","","9","Figure_6","same Figure 6 caption as exp_fig6_egfr_wt","vlm","carrier registered; row values read from carrier head"
"PMC10408569::fig7_apoptosis_10c","PMC10408569","EGFR (none)","apoptosis flow cytometry","10c in NSC lung cancer HOP-92 cells","10","Figure_7","Apoptosis assay in flow cytometry, the effect of 10c (A), compounds 10d (B), control (C), and bar chart presentation of control, compounds 10c and 10d (D) on the percentage of Annexin V-FITC-positive staining in NSC lung cancer HOP-92 cells.","vlm","carrier registered; row values read from carrier head"
"PMC10408569::fig7_apoptosis_10d","PMC10408569","EGFR (none)","apoptosis flow cytometry","10d in NSC lung cancer HOP-92 cells","10","Figure_7","same Figure 7 caption as fig7_apoptosis_10c","vlm","carrier registered; this record's locator was truncated in the read window"
"PMC5094958::exp_fig2a","PMC5094958","EGFR WT","Drug docking","Gefitinib in 2ITY","5","Figure_2A","A. gefitinib binding with the active form of EGFR (2ITY [10])","vlm","carrier registered; row values read from carrier head"
"PMC5094958::exp_fig2b","PMC5094958","EGFR WT","Drug docking","Transtinib","5","Figure_2B","B. Transtinib binding with the active form of EGFR, hydrogen bond formed between the Cl substituent and the Met793 residue","vlm","carrier registered; row values read from carrier head"
"PMC5094958::exp_fig2c","PMC5094958","EGFR T790M","Drug docking","Transtinib, C-helix out inactive mode","5","Figure_2C","C. Transtinib binding with the C-helix out inactive mode with the T790M mutation of EGFR, three hydrogen bonds were formed with Met793, Arg841 and Thr854.","vlm","carrier registered; row values read from carrier head"
"PMC5094958::exp_fig2d","PMC5094958","EGFR T790M","Drug docking","HKI272, Transtinib in 2JIV","5","Figure_2D","D. HKI272 (yellow) superposed on Transtinib (lemon) in 2JIV.","vlm","carrier registered; row values read from carrier head"
"PMC5094958::fig3A_A431_gefitinib","PMC5094958","EGFR (none)","in vivo xenograft tumor growth","Gefitinib in A431 xenograft, 10 weeks","6","Figure_3A","A. A431 and B. H1975 xenograft following 10 weeks of daily 5 mg/kg gefitinib (n=6) and Transtibin treatment (n=8 and 10 mice, respectively).","vlm","carrier registered; row values read from carrier head"
"PMC5094958::fig3A_A431_transtibin","PMC5094958","EGFR (none)","in vivo xenograft tumor growth","Transtibin in A431 xenograft, 10 weeks","6","Figure_3A","same Figure 3A caption as fig3A_A431_gefitinib","vlm","carrier registered; row values read from carrier head"
"PMC5094958::fig3A_A431_vehicle","PMC5094958","EGFR (none)","in vivo xenograft tumor growth","vehicle in A431 xenograft, 10 weeks","6","Figure_3A","same Figure 3A caption as fig3A_A431_gefitinib","vlm","carrier registered; row values read from carrier head"
"PMC5094958::fig3B_H1975_vehicle","PMC5094958","EGFR T790M/L858R","in vivo xenograft tumor growth","vehicle in H1975 xenograft, 10 weeks","6","Figure_3B","same Figure 3A/3B caption (A431 and H1975 xenograft)","vlm","carrier registered; row values read from carrier head"
"PMC5094958::fig3B_H1975_gefitinib","PMC5094958","EGFR T790M/L858R","in vivo xenograft tumor growth","Gefitinib in H1975 xenograft, 10 weeks","6","Figure_3B","same Figure 3A/3B caption (A431 and H1975 xenograft)","vlm","carrier registered; this record's locator was truncated in the read window"
